asin,text,title,location,date,verified,rating
3485a56f6e676,The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive 🔥,Must buy!,Latur,4 months ago,True,5
3485a56f6e676,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing..",Fabulous!,Debipur,10 months ago,True,5
3485a56f6e676,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",Great product,Rajgarh,9 months ago,True,5
3485a56f6e676,Good,Just wow!,Bengaluru,9 months ago,True,5
3485a56f6e676,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",Best in the market!,North Twenty Four Parganas District,"Oct, 2022",True,5
3485a56f6e676,Nice UI and Fast,Very Good,Yenugonda,9 months ago,True,4
3485a56f6e676,Nice camera but battery drain fast specially on video recording,Great product,Ramnagar,8 months ago,True,5
3485a56f6e676,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️,Must buy!,Chhindwara,11 months ago,True,5
3485a56f6e676,Awesome 👍,Good quality product,Bhubaneswar,"Oct, 2022",True,4
3485a56f6e676,Unboxing overall good experience 😊,Nice product,Bengaluru,22 days ago,True,4
3485a56f6e676,Just amazing!,Excellent,Raigarh,10 months ago,True,5
3485a56f6e676,Reasons to get it over regular 13- 50 percent extra ram- Better camera sensors- Cinematic mode at 4k 30 fps (13 could only do     1080p 30fps)- Action mode for super stabilised videos- Better low light photos thanks to photonic engine- Better battery life - Extra gpu core for high graphics performance- New improved modem for fast and efficient mobile connectivity - Dual ambient light sensors - Better camera flash- Crash detection - Satellite connectivity (though currently not in I...,Awesome,Champawat,9 months ago,True,5
3485a56f6e676,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",Best in the market!,Mahrajganj Mahrajganj District,"Oct, 2022",True,5
3485a56f6e676,Thanku filipkart best phone in the world ❤️,Terrific purchase,Etawah,9 months ago,True,5
3485a56f6e676,"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my call",Waste of money!,Rajahmundry,3 months ago,True,1
3485a56f6e676,Just perfect!!,Mind-blowing purchase,Navi Mumbai,9 months ago,True,5
3485a56f6e676,Good,Perfect product!,Anantapur,7 months ago,True,5
3485a56f6e676,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍,Terrific,Ahmedabad,"Oct, 2022",True,5
3485a56f6e676,"Amazing product, love the design and the feel is awesome Performance is very smooth.",Wonderful,Chhapra,4 months ago,True,5
3485a56f6e676,Amazing!pictures...📸 everything good 😍,Just wow!,Kannur,5 months ago,True,5
3485a56f6e676,Ultimate,Highly recommended,Ghaziabad,10 months ago,True,5
3485a56f6e676,Performance is really good and camera quality is fine,Best in the market!,Erode,8 months ago,True,5
3485a56f6e676,Amazing device for daily life about camera about sound quality all are good,Mind-blowing purchase,Jodhpur,9 months ago,True,5
3485a56f6e676,Nice look badiya phone after one year use great working,Good quality product,New Delhi,10 months ago,True,4
3485a56f6e676,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.,Just wow!,Begusarai,8 months ago,True,5
3485a56f6e676,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast.",Excellent,Ahmedabad,8 months ago,True,5
3485a56f6e676,Excellent Product 🥳,Wonderful,Bharuch,11 months ago,True,5
3485a56f6e676,Super camera.,Excellent,Bangalore,9 months ago,True,5
3485a56f6e676,Awesome phone with amazing features,Brilliant,Agartala,5 months ago,True,5
